2024-10-18 16:20:34 - iter: 37000/300000, epoch: 300, lr: 0.0003852119710289909 Train MRAE: 0.024168740957975388, Test mrae: 0.01176, Test rmse: 0.00154, Test psnr: 18.59131, Test ssim: 0.99983, Test sam: 0.01001
2024-10-18 16:32:31 - iter: 38000/300000, epoch: 300, lr: 0.00038441250831354256 Train MRAE: 0.023905789479613304, Test mrae: 0.01221, Test rmse: 0.00156, Test psnr: 18.59837, Test ssim: 0.99979, Test sam: 0.00941
2024-10-18 16:44:27 - iter: 39000/300000, epoch: 300, lr: 0.00038359287751905165 Train MRAE: 0.02365618571639061, Test mrae: 0.01551, Test rmse: 0.00187, Test psnr: 18.60002, Test ssim: 0.99970, Test sam: 0.01197
2024-10-18 16:56:26 - iter: 40000/300000, epoch: 300, lr: 0.0003827531685272711 Train MRAE: 0.023431703448295593, Test mrae: 0.01346, Test rmse: 0.00165, Test psnr: 18.60119, Test ssim: 0.99966, Test sam: 0.01006
2024-10-18 17:08:21 - iter: 41000/300000, epoch: 300, lr: 0.0003818934734217551 Train MRAE: 0.02321505919098854, Test mrae: 0.01221, Test rmse: 0.00144, Test psnr: 18.59497, Test ssim: 0.99975, Test sam: 0.00928
2024-10-18 17:20:18 - iter: 42000/300000, epoch: 300, lr: 0.0003810138864777597 Train MRAE: 0.02299625612795353, Test mrae: 0.01568, Test rmse: 0.00174, Test psnr: 18.58254, Test ssim: 0.99938, Test sam: 0.01155
2024-10-18 17:32:16 - iter: 43000/300000, epoch: 300, lr: 0.00038011450415190645 Train MRAE: 0.022791506722569466, Test mrae: 0.01205, Test rmse: 0.00167, Test psnr: 18.58786, Test ssim: 0.99977, Test sam: 0.01071
2024-10-18 17:44:12 - iter: 44000/300000, epoch: 300, lr: 0.00037919542507160094 Train MRAE: 0.022591298446059227, Test mrae: 0.01502, Test rmse: 0.00166, Test psnr: 18.59628, Test ssim: 0.99961, Test sam: 0.01009
2024-10-18 17:56:09 - iter: 45000/300000, epoch: 300, lr: 0.00037825675002422246 Train MRAE: 0.02239161729812622, Test mrae: 0.01166, Test rmse: 0.00143, Test psnr: 18.60099, Test ssim: 0.99977, Test sam: 0.00919
2024-10-18 18:08:06 - iter: 46000/300000, epoch: 300, lr: 0.00037729858194606824 Train MRAE: 0.02221371792256832, Test mrae: 0.01208, Test rmse: 0.00167, Test psnr: 18.59550, Test ssim: 0.99977, Test sam: 0.01044
2024-10-18 18:20:04 - iter: 47000/300000, epoch: 300, lr: 0.00037632102591106284 Train MRAE: 0.02203943394124508, Test mrae: 0.01052, Test rmse: 0.00142, Test psnr: 18.59407, Test ssim: 0.99984, Test sam: 0.00910
2024-10-18 18:32:00 - iter: 48000/300000, epoch: 300, lr: 0.00037532418911924475 Train MRAE: 0.021868880838155746, Test mrae: 0.01531, Test rmse: 0.00184, Test psnr: 18.59765, Test ssim: 0.99966, Test sam: 0.01170
2024-10-18 18:43:59 - iter: 49000/300000, epoch: 300, lr: 0.00037430818088499894 Train MRAE: 0.02171148732304573, Test mrae: 0.01423, Test rmse: 0.00175, Test psnr: 18.59186, Test ssim: 0.99971, Test sam: 0.01114
2024-10-18 18:55:55 - iter: 50000/300000, epoch: 300, lr: 0.00037327311262507916 Train MRAE: 0.02157195284962654, Test mrae: 0.01096, Test rmse: 0.00128, Test psnr: 18.59512, Test ssim: 0.99976, Test sam: 0.00793
2024-10-18 19:07:55 - iter: 51000/300000, epoch: 300, lr: 0.0003722190978463839 Train MRAE: 0.021419646218419075, Test mrae: 0.01352, Test rmse: 0.00171, Test psnr: 18.60260, Test ssim: 0.99977, Test sam: 0.01121
2024-10-18 19:19:50 - iter: 52000/300000, epoch: 300, lr: 0.0003711462521335105 Train MRAE: 0.021275293081998825, Test mrae: 0.01332, Test rmse: 0.00169, Test psnr: 18.59716, Test ssim: 0.99977, Test sam: 0.01056
2024-10-18 19:31:47 - iter: 53000/300000, epoch: 300, lr: 0.00037005469313608345 Train MRAE: 0.02111908420920372, Test mrae: 0.01563, Test rmse: 0.00186, Test psnr: 18.60361, Test ssim: 0.99956, Test sam: 0.01194
2024-10-18 19:43:44 - iter: 54000/300000, epoch: 300, lr: 0.0003689445405558462 Train MRAE: 0.02098126895725727, Test mrae: 0.01168, Test rmse: 0.00147, Test psnr: 18.58926, Test ssim: 0.99978, Test sam: 0.00910
2024-10-18 19:55:43 - iter: 55000/300000, epoch: 300, lr: 0.00036781591613354014 Train MRAE: 0.020835522562265396, Test mrae: 0.00886, Test rmse: 0.00110, Test psnr: 18.59901, Test ssim: 0.99987, Test sam: 0.00714
2024-10-18 20:07:40 - iter: 56000/300000, epoch: 300, lr: 0.0003666689436355506 Train MRAE: 0.020703477784991264, Test mrae: 0.01039, Test rmse: 0.00133, Test psnr: 18.59643, Test ssim: 0.99985, Test sam: 0.00851
2024-10-18 20:19:37 - iter: 57000/300000, epoch: 300, lr: 0.0003655037488403373 Train MRAE: 0.020573623478412628, Test mrae: 0.00997, Test rmse: 0.00140, Test psnr: 18.58514, Test ssim: 0.99988, Test sam: 0.00869
2024-10-18 20:31:34 - iter: 58000/300000, epoch: 300, lr: 0.00036432045952464073 Train MRAE: 0.02044137567281723, Test mrae: 0.01173, Test rmse: 0.00162, Test psnr: 18.59494, Test ssim: 0.99982, Test sam: 0.01024
2024-10-18 20:43:30 - iter: 59000/300000, epoch: 300, lr: 0.00036311920544946817 Train MRAE: 0.020309360697865486, Test mrae: 0.00952, Test rmse: 0.00113, Test psnr: 18.59565, Test ssim: 0.99987, Test sam: 0.00772
2024-10-18 20:55:27 - iter: 60000/300000, epoch: 300, lr: 0.00036190011834586654 Train MRAE: 0.02018756791949272, Test mrae: 0.01291, Test rmse: 0.00165, Test psnr: 18.61259, Test ssim: 0.99976, Test sam: 0.00972
